,x,y,hue,year
1003,50.76398468017578,24.08251953125,3,2013
1004,,,4,2013
1005,,,5,2013
1006,14.467636108398438,-16.50460433959961,6,2013
1007,,,7,2013
1008,,,8,2013
1009,17.145755767822266,-71.1509017944336,9,2013
1010,13.314209938049316,-6.739390850067139,10,2013
1011,,,11,2013
1012,11.645048141479492,-14.268013954162598,12,2013
1013,0.6928170919418335,-33.48970031738281,13,2013
1014,,,14,2013
1015,,,15,2013
1016,,,16,2013
1017,6.596060752868652,-81.38482666015625,17,2013
1018,,,18,2013
1019,,,19,2013
1020,,,0,2014
1021,13.394505500793457,22.39701271057129,1,2014
1022,,,2,2014
1023,,,3,2014
1024,,,4,2014
1025,,,5,2014
1026,14.467636108398438,-16.50460433959961,6,2014
1027,,,7,2014
1028,-5.753910064697266,-7.180550575256348,8,2014
1029,,,9,2014
1030,13.314209938049316,-6.739390850067139,10,2014
1031,,,11,2014
1032,11.645048141479492,-14.268013954162598,12,2014
1033,0.6928170919418335,-33.48970031738281,13,2014
1034,,,14,2014
1035,,,15,2014
1036,,,16,2014
1037,,,17,2014
1038,,,18,2014
1039,,,19,2014
1040,,,0,2015
1041,14.815458297729492,38.13739776611328,1,2015
1042,,,2,2015
1043,,,3,2015
1044,,,4,2015
1045,,,5,2015
1046,,,6,2015
1047,,,7,2015
1048,-5.753910064697266,-7.180550575256348,8,2015
1049,,,9,2015
1050,,,10,2015
1051,,,11,2015
1052,,,12,2015
1053,,,13,2015
1054,,,14,2015
1055,,,15,2015
1056,,,16,2015
1057,,,17,2015
1058,,,18,2015
1059,,,19,2015
1060,,,0,2016
1061,14.815458297729492,38.13739776611328,1,2016
1062,,,2,2016
1063,,,3,2016
1064,,,4,2016
1065,,,5,2016
1066,,,6,2016
1067,,,7,2016
1068,,,8,2016
1069,,,9,2016
1070,,,10,2016
1071,,,11,2016
1072,,,12,2016
1073,,,13,2016
1074,-15.718656539916992,-8.258340835571289,14,2016
1075,,,15,2016
1076,,,16,2016
1077,,,17,2016
1078,,,18,2016
1079,,,19,2016
